date,close,open,high,low,volume,•Ï‰»—¦ %
2019/3/10,12.88,16.28,16.43,12.5,,-19.75%
2019/3/3,16.05,14.57,18.33,13.38,,18.28%
2019/2/24,13.57,13.91,16.17,13.41,,0.44%
2019/2/17,13.51,15.65,16.16,13.51,,-9.39%
2019/2/10,14.91,16.17,17.27,14.79,,-5.15%
2019/2/3,15.72,16.64,17.89,15.04,,-2.60%
2019/1/27,16.14,19.38,20.42,16.08,,-7.35%
2019/1/20,17.42,18.65,22.02,17.31,,-2.13%
2019/1/13,17.8,19.96,19.99,17.17,,-2.14%
2019/1/6,18.19,22.11,22.8,18.12,,-14.92%
2018/12/30,21.38,27.19,27.72,21.19,,-24.56%
2018/12/23,28.34,31.21,36.2,27.43,,-5.88%
2018/12/16,30.11,23.22,31.35,22.43,,39.20%
2018/12/9,21.63,23.62,25.94,20.34,,-6.89%
2018/12/2,23.23,16.04,25.94,15.94,,28.56%
2018/11/25,18.07,20.78,20.8,18.03,,-16.03%
2018/11/18,21.52,18.78,23.81,18.52,,18.63%
2018/11/11,18.14,17.26,22.97,17.25,,4.49%
2018/11/4,17.36,20.58,20.87,16.09,,-11.02%
2018/10/28,19.51,24.48,27.86,18.05,,-19.25%
2018/10/21,24.16,19.38,27.52,18.82,,21.47%
2018/10/14,19.89,21.97,22.89,17.06,,-6.66%
2018/10/7,21.31,16.05,28.84,15.27,,43.79%
2018/9/30,14.82,11.99,17.36,11.34,,22.28%
2018/9/23,12.12,12.46,13.22,11.55,,3.77%
2018/9/16,11.68,12.72,13.75,11.1,,-3.23%
2018/9/9,12.07,15.09,15.2,11.93,,-18.88%
2018/9/2,14.88,13.13,15.63,13.12,,15.71%
2018/8/26,12.86,12.37,14.03,11.87,,7.26%
2018/8/19,11.99,12.57,13.29,11.65,,-5.14%
2018/8/12,12.64,14.5,16.86,12.4,,-3.95%
2018/8/5,13.16,11.91,13.82,10.17,,13.06%
2018/7/29,11.64,13.63,14.53,11.07,,-10.67%
2018/7/22,13.03,13.47,14.26,11.6,,1.32%
2018/7/15,12.86,12.46,13.58,11.44,,5.58%
2018/7/8,12.18,13.42,14.15,11.62,,-8.90%
2018/7/1,13.37,17.7,18.08,13.34,,-16.90%
2018/6/24,16.09,15.07,19.61,14.56,,16.85%
2018/6/17,13.77,12.79,15.18,12.18,,14.94%
2018/6/10,11.98,12.52,13.16,11.88,,-1.64%
2018/6/3,12.18,13.91,13.91,11.22,,-9.51%
2018/5/27,13.46,14.39,18.78,13.37,,1.82%
2018/5/20,13.22,13.44,14.6,12.29,,-1.49%
2018/5/13,13.42,12.95,15.01,12.5,,6.09%
2018/5/6,12.65,15.32,15.56,12.65,,-14.35%
2018/4/29,14.77,15.39,18.66,10.91,,-4.15%
2018/4/22,15.41,17.29,19.84,15.25,,-8.71%
2018/4/15,16.88,17.59,17.66,14.57,,-3.04%
2018/4/8,17.41,21.27,22.02,17.26,,-18.99%
2018/4/1,21.49,21.07,25.72,18.57,,7.61%
2018/3/25,19.97,23.41,24.94,19.6,,-19.70%
2018/3/18,24.87,16.63,26.01,16.26,,57.41%
2018/3/11,15.8,15.28,17.59,14.94,,7.92%
2018/3/4,14.64,21.55,21.57,13.31,,-25.27%
2018/2/25,19.59,16.53,26.22,15.29,,18.80%
2018/2/18,16.49,20.53,21.61,16.47,,-15.26%
2018/2/11,19.46,27.25,29.7,17.44,,-33.04%
2018/2/4,29.06,18.44,50.3,16.8,,67.88%
2018/1/28,17.31,11.71,17.86,11.68,,56.23%
2018/1/21,11.08,11.59,12.19,10.76,,-1.69%
2018/1/14,11.27,10.42,12.8,10.4,,10.93%
2018/1/7,10.16,9.61,10.85,9.32,,10.20%
2017/12/31,9.22,10.95,11.07,8.92,,-16.49%
2017/12/24,11.04,10.19,11.06,9.71,,11.52%
2017/12/17,9.9,9.46,10.18,8.9,,5.10%
2017/12/10,9.42,9.74,10.54,9.21,,-1.67%
2017/12/3,9.58,11.05,11.86,9.43,,-16.19%
2017/11/26,11.43,10.07,14.58,9.53,,18.20%
2017/11/19,9.67,11.96,12.08,8.56,,-15.40%
2017/11/12,11.43,11.43,14.51,11,,1.24%
2017/11/5,11.29,9.63,12.19,9.29,,23.52%
2017/10/29,9.14,10.28,10.89,8.99,,-6.73%
2017/10/22,9.8,10.25,13.2,9.74,,-1.71%
2017/10/15,9.97,9.95,11.77,9.29,,3.75%
2017/10/8,9.61,9.92,10.66,9.44,,-0.41%
2017/10/1,9.65,9.59,10.27,9.11,,1.47%
2017/9/24,9.51,10.08,11.21,9.36,,-0.83%
2017/9/17,9.59,10.18,10.67,9.5,,-5.70%
2017/9/10,10.17,11.38,11.39,10,,-16.09%
2017/9/3,12.12,11.75,14.06,11.32,,19.64%
2017/8/27,10.13,12.09,14.34,10.02,,-10.20%
2017/8/20,11.28,14.59,14.74,11.1,,-20.90%
2017/8/13,14.26,14.05,16.04,11.25,,-8.06%
2017/8/6,15.51,10.19,17.28,9.52,,54.64%
2017/7/30,10.03,10.53,10.84,9.68,,-2.53%
2017/7/23,10.29,9.94,11.5,8.84,,9.94%
2017/7/16,9.36,9.77,10.35,9.3,,-1.58%
2017/7/9,9.51,11.26,12.14,9.5,,-15.01%
2017/7/2,11.19,11.07,13.05,10.28,,0.09%
2017/6/25,11.18,10.13,15.16,9.68,,11.58%
2017/6/18,10.02,10.57,11.4,9.85,,-3.47%
2017/6/11,10.38,11.19,12.37,10.01,,-2.99%
2017/6/4,10.7,10.08,12.11,9.37,,9.74%
2017/5/28,9.75,10.61,11.3,9.58,,-0.61%
2017/5/21,9.81,12.29,12.52,9.65,,-18.52%
2017/5/14,12.04,10.54,16.3,10.18,,15.77%
2017/5/7,10.4,10.53,11.23,9.56,,-1.61%
